Date,BoosterVersion,LaunchSite,Payload,PayloadMass_kg,Orbit,Outcome
"April 12, 2025",F9 B5B1071‐24,"Vandenberg, SLC‐4E",NROL-192 (22 Starshield satellites),,LEO,Success
"April 13, 2025",F9 B5B1083‐10,"Kennedy, LC‐39A",Starlink: Group 12-17,16500.0,LEO,Success
"April 14, 2025",F9 B5B1067‐27,"Cape Canaveral, SLC‐40",Starlink: Group 6-73,15500.0,LEO,Success
"April 20, 2025",F9 B5B1082‐12,"Vandenberg, SLC‐4E",NROL-145 (22 Starshield satellites),,LEO,Success
"April 21, 2025",F9 B5 B1092‐3,"Kennedy, LC‐39A",SpaceX CRS-32 (Cargo Dragon C209-5),3021.0,LEO (ISS),Success
"April 22, 2025",F9 B5B1090‐3,"Cape Canaveral, SLC‐40","Bandwagon-3 (425Sat-3, Tomorrow-S7, PHOENIX)",,LEO,Success
"April 25, 2025",F9 B5B1069‐23,"Cape Canaveral, SLC‐40",Starlink: Group 6-74,16100.0,LEO,Success
"April 28, 2025",F9 B5B1077‐20,"Cape Canaveral, SLC‐40",Starlink: Group 12-23,17100.0,LEO,Success
"April 28, 2025",F9 B5B1063‐25,"Vandenberg, SLC‐4E",Starlink: Group 11-9,15500.0,LEO,Success
"April 29, 2025",F9 B5B1094‐1,"Kennedy, LC‐39A",Starlink: Group 12-10,17100.0,LEO,Success
"May 2, 2025",F9 B5B1080‐18,"Cape Canaveral, SLC‐40",Starlink: Group 6-75,16100.0,LEO,Success
"May 4, 2025",F9 B5B1078‐20,"Kennedy, LC‐39A",Starlink: Group 6-84,16675.0,LEO,Success
"May 7, 2025",F9 B5B1085‐7,"Cape Canaveral, SLC‐40",Starlink: Group 6-93,16100.0,LEO,Success
"May 10, 2025",F9 B5B1081‐14,"Vandenberg, SLC‐4E",Starlink: Group 15-3,14950.0,LEO,Success
"May 10, 2025",F9 B5B1083‐11,"Cape Canaveral, SLC‐40",Starlink: Group 6-91,16100.0,LEO,Success
"May 13, 2025",F9 B5B1088‐6,"Vandenberg, SLC‐4E",Starlink: Group 15-4,14950.0,LEO,Success
"May 13, 2025",F9 B5B1067‐28,"Kennedy, LC‐39A",Starlink: Group 6-83,16100.0,LEO,Success
"May 14, 2025",F9 B5B1090‐4,"Cape Canaveral, SLC‐40",Starlink: Group 6-67,16100.0,LEO,Success
"May 16, 2025",F9 B5B1093‐2,"Vandenberg, SLC‐4E",Starlink: Group 15-5,14950.0,LEO,Success
"May 21, 2025",F9 B5B1095‐1,"Cape Canaveral, SLC‐40",Starlink: Group 12-15,17100.0,LEO,Success
"May 23, 2025",F9 B5B1075‐18,"Vandenberg, SLC‐4E",Starlink: Group 11-16,15500.0,LEO,Success
"May 24, 2025",F9 B5B1069‐24,"Cape Canaveral, SLC‐40",Starlink: Group 12-22,17100.0,LEO,Success
"May 27, 2025",F9 B5B1082‐13,"Vandenberg, SLC‐4E",Starlink: Group 17-1,17500.0,SSO,Success
"May 28, 2025",F9 B5B1080‐19,"Kennedy, LC‐39A",Starlink: Group 10-32,15500.0,LEO,Success
"May 30, 2025",F9 B5B1092‐4,"Cape Canaveral, SLC‐40",GPS III-8,4350.0,MEO,Success
"May 31, 2025",F9 B5B1071‐25,"Vandenberg, SLC‐4E",Starlink: Group 11-18,15500.0,LEO,Success
"June 3, 2025",F9 B5B1077‐21,"Cape Canaveral, SLC‐40",Starlink: Group 12-19,17100.0,LEO,Success
"June 4, 2025",F9 B5B1063‐26,"Vandenberg, SLC‐4E",Starlink: Group 11-22,15500.0,LEO,Success
"June 7, 2025",F9 B5B1085‐8,"Cape Canaveral, SLC‐40",SXM-10,6400.0,GTO,Success
"June 8, 2025",F9 B5B1088‐7,"Vandenberg, SLC‐4E",Starlink: Group 15-8,14950.0,LEO,Success
"June 10, 2025",F9 B5B1083‐12,"Cape Canaveral, SLC‐40",Starlink: Group 12-24,17100.0,LEO,Success
"June 13, 2025",F9 B5B1081‐15,"Vandenberg, SLC‐4E",Starlink: Group 15-6,14950.0,LEO,Success
"June 13, 2025",F9 B5B1078‐21,"Cape Canaveral, SLC‐40",Starlink: Group 12-26,17100.0,LEO,Success
"June 17, 2025",F9 B5B1093‐3,"Vandenberg, SLC‐4E",Starlink: Group 15-9,14950.0,LEO,Success
"June 18, 2025",F9 B5B1090‐5,"Cape Canaveral, SLC‐40",Starlink: Group 10-18,16100.0,LEO,Success
"June 23, 2025",F9 B5B1069‐25,"Cape Canaveral, SLC‐40",Starlink: Group 10-23,15500.0,LEO,Success
"June 23, 2025",F9 B5B1071‐26,"Vandenberg, SLC‐4E",Transporter-14 (70 payloads smallsat rideshare),,SSO,Success
"June 25, 2025",F9 B5B1094‐2,"Kennedy, LC‐39A",Axiom Mission 4 (Crew Dragon C213-1 Grace),13000.0,LEO (ISS),Success
"June 25, 2025",F9 B5B1080‐20,"Cape Canaveral, SLC‐40",Starlink: Group 10-16,15500.0,LEO,Success
"June 28, 2025",F9 B5B1092‐5,"Cape Canaveral, SLC‐40",Starlink: Group 10-34,15500.0,LEO,Success
"June 28, 2025",F9 B5B1088‐8,"Vandenberg, SLC‐4E",Starlink: Group 15-7,14950.0,LEO,Success
"July 1, 2025",F9 B5B1085‐9,"Kennedy, LC‐39A",MTG-S1 / Sentinel-4A,3800.0,GTO,Success
